정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
임학지하차도앞사거리,41288,2485,6,2485,6,0,83
입구지,35300,47,1,47,1,0,1
입구지,35751,2,52,2,52,0,1
입구지입구,35477,18,119,18,119,0,4
입구지입구,35478,78,8,78,8,0,2
자동차매매단지,11020,258,668,258,668,0,30
자동차매매단지,11021,691,222,691,222,0,30
자동차매매단지,36094,320,4797,319,4797,1,170
자동차매매단지,37459,3704,315,3704,315,0,133
자연사박물관,43451,1,2,1,2,0,0
자연사박물관,43667,34,12,31,12,3,1
자이금호힐스테이트,42849,345,4802,345,4802,0,171
자이금호힐스테이트,42850,3445,398,3438,398,7,128
자이더테라스1단지,89297,1245,358,1245,358,0,53
자이더테라스1단지,89298,412,1158,412,1158,0,52
자이더테라스2단지,42864,1608,2350,1608,2350,0,131
자이더테라스2단지,42871,2746,1332,2746,1332,0,135
자이더테라스2단지(209동),89460,555,1004,555,1004,0,51
자이더테라스2단지(209동),89495,73,526,73,526,0,19
작은구월사거리,39239,5219,5545,5219,5545,0,358
작은구월사거리,39240,6269,6342,6265,6342,4,420
작전1동주민센터,41113,15589,8128,15573,8128,16,790
작전동삼성홈플러스,41044,16044,27308,16031,27308,13,1445
작전동삼성홈플러스,41050,18253,8912,18220,8912,33,905
작전동풍림아파트,41090,216,1012,216,1012,0,40
작전서운동행정복지센터,41103,477,2268,477,2268,0,91
작전서운동행정복지센터,41104,2304,486,2304,486,0,93
작전역,41561,8679,7097,8679,7097,0,525
작전역,41562,8072,8106,8072,8106,0,539
작전역 서해그랑블,41047,2477,2243,2473,2243,4,157
작전역 서해그랑블,41414,1164,2956,1164,2956,0,137
작전역1번출구,41095,12465,15290,12465,15290,0,925
작전역2번출구,41092,4620,6894,4620,6894,0,383
작전역3번출구,41076,9178,4440,9172,4440,6,453
작전역4번출구,41062,14182,28635,14146,28635,36,1427
작전역5번출구,41057,53430,33094,53409,33094,21,2884
작전역6번출구,41433,4540,25731,4540,25731,0,1009
작전역7번출구,41401,21735,6065,21735,6065,0,926
작전역8번출구,41093,10864,10748,10864,10748,0,720
작전중고.여고앞,41116,3516,3234,3503,3234,13,225
작전초등학교,41127,3058,2716,3030,2716,28,192
작전초등학교,41128,3161,2600,3146,2600,15,192
작전풍림아파트,41080,924,5659,924,5659,0,219
작전풍림아파트,41091,7029,3050,7029,3050,0,335
잔다리삼거리,35519,106,33,103,33,3,4
잔다리삼거리,35559,35,44,34,44,1,2
잔다리삼거리,35856,3,19,3,19,0,0
잔다리삼거리,35857,30,2,30,2,0,1
잔다리새마을,35866,15,70,15,70,0,2
잔다리새마을,35867,30,137,30,137,0,5
잔솔밭,43943,65,32,64,32,1,3
잔솔밭,43944,0,1,0,1,0,0
잠진도삼거리,35743,124,3,124,3,0,4
잠진도삼거리,35744,10,310,10,310,0,10
잠진도입구,35749,23,118,23,118,0,4
잠진도입구,35750,52,57,52,57,0,3
장경리공영주차장,44141,25,20,25,20,0,1
장경리공영주차장,44190,48,26,48,26,0,2
장경리해수욕장,44092,33,44,33,44,0,2
장경리해수욕장,44191,23,16,23,16,0,1
장곡.고촌고등학교,80066,361,158,361,158,0,17
장곡.고촌고등학교,80288,29,58,29,58,0,2
장곶돈대,43931,64,18,64,18,0,2
장곶돈대,43932,23,51,23,51,0,2
장곶횟집,43118,12,7,12,7,0,0
장곶횟집,43478,6,31,6,31,0,1
장구란,90349,0,5,0,5,0,0
장구란,90354,1,3,1,3,0,0
장기동,41345,608,35,608,35,0,21
장기동,41346,42,2278,42,2278,0,77
장기동,41347,3190,14759,3190,14759,0,598
장기동,41348,16982,3486,16982,3486,0,682
장도초등학교,39127,423,468,423,468,0,29
장도초등학교,39129,1846,733,1846,733,0,85
장릉입구,80046,21,155,21,155,0,5
장릉입구,80047,174,3,174,3,0,5
장미아파트,37044,6513,8611,6513,8611,0,504
장미아파트,37092,17583,8660,17528,8660,55,874
장미아파트,37094,8720,12061,8714,12061,6,692
장미아파트(19동)앞,37474,2691,2575,2691,2575,0,175
장미아파트(19동)앞,37540,2558,3639,2556,3639,2,206
장서초등학교,39965,3890,581,3890,581,0,149
장서초등학교,39966,975,5171,975,5171,0,204
장수.서창동행정복지센터,39580,4371,8108,4371,8108,0,415
장수.서창동행정복지센터,39581,8134,1926,8134,1926,0,335
장수공영차고지,39566,1875,275,1394,275,481,71
장수공영차고지,92064,121,217,13,217,108,11
장수교,39336,652,609,652,609,0,42
장수교(서창동입구),39337,314,1206,314,1206,0,50
장수동,39373,815,2175,815,2175,0,99
장수동,39391,1024,1382,1024,1382,0,80
장수동,39393,4518,5583,4518,5583,0,336
장수빌라,39577,720,1816,720,1816,0,84
장수사거리,39389,11965,3212,11965,3212,0,505
장수사거리,39397,222,4080,222,4080,0,143
장수사거리,39501,2677,7522,2677,7522,0,339
장수사거리,39542,5967,404,5967,404,0,212
장수주공(청소년수련원),39417,56,3533,56,3533,0,119
장수주공(청소년수련원),39424,4612,131,4612,131,0,158
장수초등학교,39342,2505,1509,2505,1509,0,133
장수초등학교,39352,938,2049,938,2049,0,99
장수파출소,39543,38,1165,38,1165,0,40
장승마루,90028,0,10,0,10,0,0
장승마루,90029,9,0,9,0,0,0
장승마을,43200,0,63,0,63,0,2
장승마을,43714,78,0,74,0,4,2
장승백이시장,39280,3600,1456,3600,1456,0,168
장승백이시장,39282,649,3756,649,3756,0,146
장아초등학교,39873,1088,553,1088,553,0,54
장아초등학교,39874,151,1544,151,1544,0,56
장안,43418,12,32,12,32,0,1
장안,43445,77,21,76,21,1,3
장안마을,43133,16,1,16,1,0,0
장안마을,43855,0,18,0,18,0,0
장안말(구초지분교)입구,90083,81,188,81,188,0,8
장안말(구초지분교)입구,90084,145,113,145,113,0,8
장안말(온천스파),43144,28,17,28,17,0,1
