정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
랜드마크시티센트럴더샵(203동),38645,14433,1284,14433,1284,0,523
랜드마크시티센트럴더샵(203동),38650,1234,12903,1234,12903,0,471
럭키아파트,23488,247,109,247,109,0,11
럭키아파트,38115,4092,138,4092,138,0,141
럭키아파트,38132,645,7569,645,7569,0,273
레이크파크,42840,1463,3938,1460,3938,3,180
레전드호텔,35639,1466,1706,1466,1706,0,105
레전드호텔,35640,21,384,21,384,0,13
레지던스라이크홈,92012,508,5414,508,5414,0,197
로봇랜드입구,89022,3493,72,3493,72,0,118
로봇랜드입구,89023,12,2465,12,2465,0,82
로봇타워,89301,15,649,15,649,0,22
로봇타워,89302,815,47,815,47,0,28
로얄금속,40599,5670,3306,5663,3306,7,299
로얄아파트,37247,30685,16476,30658,16476,27,1572
로얄아파트,37424,718,322,713,322,5,34
로얄호텔,43542,3,33,3,33,0,1
로얄호텔,43878,13,21,13,21,0,1
롯데마트,35108,3724,4345,3724,4345,0,268
롯데마트,41390,793,17,793,17,0,27
롯데마트,41391,38,2663,38,2663,0,90
롯데마트,42829,19257,9497,19257,9497,0,958
롯데마트,42838,9339,21002,9339,21002,0,1011
롯데마트계양점(고용복지센터),41227,25173,16175,25136,16175,37,1378
롯데마트계양점(고용복지센터),41424,9587,17655,9583,17655,4,908
롯데마트송도점,38523,2608,699,2608,699,0,110
롯데몰.김포공항,25174,369,1413,369,1413,0,59
롯데백화점(인천터미널),37513,163579,152773,163486,152773,93,10545
롯데백화점(인천터미널),39588,155517,113257,155449,113257,68,8959
롯데슈퍼,38072,8761,2874,8756,2874,5,387
롯데슈퍼,38074,2618,7187,2613,7187,5,326
롯데슈퍼,42206,2237,4140,2234,4140,3,212
롯데슈퍼,42207,6505,2248,6501,2248,4,291
롯데아파트,38110,7748,8982,7747,8982,1,557
롯데우람아파트,42152,4358,6837,4352,6837,6,373
롯데우람아파트,42603,3318,4951,3302,4951,16,275
롯데월드타워,37327,2744,4593,2744,4593,0,244
롯데캐슬,39795,493,290,493,290,0,26
롯데캐슬,39796,2582,1219,2582,1219,0,126
롯데캐슬,39797,444,75,444,75,0,17
롯데캐슬,39798,128,498,128,498,0,20
롯데캐슬,42835,7699,5922,7690,5922,9,454
롯데캐슬,42884,4779,9307,4779,9307,0,469
롯데캐슬,42999,824,2789,824,2789,0,120
롯데캐슬.모래내시장.구월시장,39309,53678,20115,53604,20115,74,2459
롯데캐슬·모래내시장·구월시장,39310,28423,50960,28407,50960,16,2646
롯데캐슬캠퍼스타운,39977,14,824,14,824,0,27
롯데캐슬캠퍼스타운,39978,2619,2490,2619,2490,0,170
롯데캐슬후문,39285,4947,4377,4945,4377,2,310
루에블리아파트,89283,2896,3956,2893,3956,3,228
루에블리아파트,89284,5548,5978,5542,5978,6,384
루원더퍼스트아파트,89107,3705,6459,3705,6459,0,338
루원더퍼스트아파트,89108,8989,2213,8989,2213,0,373
루원더퍼스트아파트105동앞,89378,196,1070,196,1070,0,42
루원린스트라우스더린시티,42234,1231,864,1231,864,0,69
루원숲속마을,89383,578,1462,576,1462,2,68
루원숲속마을,89384,20,464,19,464,1,16
루원시티2차리더스뷰아파트,89072,12892,13511,12882,13511,10,880
루원시티사거리,89076,1653,1164,1647,1164,6,93
루원시티사거리,89077,397,1793,396,1793,1,73
루원시티프라디움,89150,13213,3812,13212,3812,1,567
루원시티프라디움105동,89308,9409,9130,9407,9130,2,617
루원시티프라디움105동,89309,2869,5974,2868,5974,1,294
루원이편한세상하늘채(107동),42225,12862,16752,12852,16752,10,987
루원이편한세상하늘채(112동),42721,3921,2021,3920,2021,1,198
루원이편한세상하늘채(125동),42216,5436,2801,5422,2801,14,274
루원제일풍경채정문앞,89040,3623,10714,3618,10714,5,477
루원중학교,89493,1218,294,1218,294,0,50
루원중학교,89494,86,676,86,676,0,25
루원지웰시티푸르지오,42228,8342,8292,8319,8292,23,554
루원호반베르디움,89149,4403,10979,4397,10979,6,512
루원호반베르디움104동,89368,939,1457,939,1457,0,79
리안월드입구,90177,57,54,54,54,3,3
리안월드입구,90178,22,7,22,7,0,0
린나이코리아,40011,3,328,3,328,0,11
린나이코리아,40012,539,0,539,0,0,17
린스트라우스,42881,7409,3259,7408,3259,1,355
린스트라우스정문,42795,6530,3704,6530,3704,0,341
린스트리우스,42831,3361,3320,3361,3320,0,222
마그네,43028,167,198,167,198,0,12
마그네다리,43158,272,161,271,161,1,14
마그네다리,43900,42,9,41,9,1,1
마그네사거리,43029,321,344,314,344,7,22
마그네사거리,43030,418,439,418,439,0,28
마니교통차고지,89496,154,175,154,175,0,10
마니산상회,43417,79,30,77,30,2,3
마니산상회,43443,39,61,39,61,0,3
마니산입구,43102,181,603,177,603,4,26
마니산입구,43103,748,219,746,219,2,32
마당개,35681,64,45,59,45,5,3
마당개,35697,69,13,69,13,0,2
마린월드,70004,909,193,894,193,15,36
마린월드,70029,14,75,9,75,5,2
마미,43747,20,23,20,23,0,1
마미,43765,4,5,4,5,0,0
마송,80131,879,4488,879,4488,0,178
마송,80132,3747,695,3747,695,0,148
마시란,35424,162,407,162,407,0,18
마시란,35425,393,105,393,105,0,16
마을금고,40528,1071,4991,1071,4991,0,202
마을회관,43314,25,0,25,0,0,0
마을회관,43773,0,10,0,10,0,0
마을회관입구,35024,448,2315,448,2315,0,92
마을회관입구,35402,1269,162,1269,162,0,47
마장공원,40286,6421,26,6388,26,33,214
마장포,35679,23,8,23,8,0,1
마장포,35699,245,47,239,47,6,9
마장포고개,35677,30,37,30,37,0,2
마장포고개,35701,47,28,47,28,0,2
마전고등학교,42752,138,6770,138,6770,0,230
마전고등학교,42753,5647,193,5647,193,0,194
마전역,42412,3224,8013,3224,8013,0,374
마전역,42413,19007,5148,19006,5148,1,805
마전주공아파트,42420,24,150,23,150,1,5
마전주공아파트,89322,0,1,0,1,0,0
마전지구대원아파트,42481,5776,51,5776,51,0,194
마전지구대원아파트,89446,10,5168,10,5168,0,172
마전지구버스차고지,89259,4327,105,4327,105,0,147
마전지구버스차고지,89345,78,2432,78,2432,0,83
마전초등학교,42408,4959,5206,4959,5206,0,338
마포역,14001,3,442,3,442,0,14
마포역,14002,416,0,416,0,0,13
막촌,43460,368,29,351,29,17,13
막촌,43776,1,147,1,147,0,4
만석동행정복지센터,36046,3948,1479,3933,1479,15,180
만석부두,36076,501,3226,501,3226,0,124
만석부두,36079,4792,1607,4785,1607,7,213
만석비치타운,36106,664,5614,664,5614,0,209
만석비치타운,36126,1760,1738,1760,1738,0,116
만석삼거리,36185,2607,6956,2576,6956,31,318
만석삼거리,36186,1020,1443,1020,1443,0,82
만석주공,36057,14005,2520,13991,2520,14,550
만석초등학교,36056,630,229,627,229,3,28
만석초등학교,36187,0,52,0,52,0,1
만수1동행정복지센터,39294,12296,5127,12293,5127,3,580
만수2동행정복지센터·포레시안,39731,16055,9558,16055,9558,0,853
만수2동행정복지센터·포레시안,39735,9936,11397,9934,11397,2,711
만수3동주민센터,39425,18417,24013,18369,24013,48,1414
만수3동주민센터,39427,29934,12333,29899,12333,35,1408
만수3동주민센터,39544,435,102,435,102,0,17
만수3동주민센터,39545,80,1007,80,1007,0,36
만수4동주민센터,39452,6585,6787,6569,6787,16,445
만수4동주민센터,39454,6637,11616,6628,11616,9,608
만수6동주민센터입구,39277,4554,11977,4552,11977,2,551
만수7.8단지앞,39497,804,1906,804,1906,0,90
만수7.8단지앞,39635,2525,2550,2525,2550,0,169
만수북중학교,39468,1065,1584,1065,1584,0,88
만수북중학교,39469,2177,551,2177,551,0,90
만수북초등학교,39420,6117,4588,6090,4588,27,356
만수소방서,39428,8457,14379,8447,14379,10,761
만수소방서,39433,31853,12665,31798,12665,55,1483
만수신동아아파트·동인천고,39485,10013,9948,9343,9948,670,665
만수신동아아파트·동인천고,39578,477,27,470,27,7,16
만수역,39385,2759,53,2759,53,0,93
만수역,39388,351,17292,341,17292,10,588
만수종합시장,39451,27366,9298,27260,9298,106,1222
만수종합시장,39592,9166,20410,9103,20410,63,985
만수주공1단지,39401,3211,3389,3211,3389,0,220
만수주공320동앞,39431,1485,1676,1485,1676,0,105
만수주공4단지,39440,7652,5078,7641,5078,11,424
만수주공4단지,39443,9892,8929,9883,8929,9,627
만수주공정문,39408,10012,8061,9997,8061,15,602
만수주공정문,39410,3085,3239,3071,3239,14,210
만수주공후문,39435,4476,10222,4461,10222,15,489
만수주공후문,39438,13110,3926,13075,3926,35,567
만수중(대토단지),39400,216,1194,216,1194,0,47
만수중학교후문,39745,129,858,129,858,0,32
만수초등학교,39303,1898,5035,1898,5035,0,231
만수초등학교,39307,658,896,658,896,0,51
만수치안센터,39455,810,437,810,437,0,41
만월종합사회복지관,92065,3,1688,2,1688,1,56
만월중학교,39962,2042,295,2042,295,0,77
만월중학교,39963,65,2354,65,2354,0,80
만의골입구,39666,116,88,116,88,0,6
만의골입구,39672,8,101,8,101,0,3
만정낚시터,35682,107,52,107,52,0,5
만정낚시터,35696,13,80,13,80,0,3
만정낚시터입구,35683,31,84,28,84,3,3
만정낚시터입구,35695,85,51,85,51,0,4
망양돈대,90224,16,33,15,33,1,1
망양돈대,90225,18,9,18,9,0,0
망월3리,43332,223,138,214,138,9,12
망월3리,43580,1,36,1,36,0,1
망월입구,43117,7,0,7,0,0,0
망월입구,43576,33,47,32,47,1,2
망월입구,43790,9,38,8,38,1,1
망월종점,43788,3,16,2,16,1,0
매음1리마을회관,90173,19,25,19,25,0,1
매음1리마을회관,90174,35,6,34,6,1,1
매음3리마을회관(민머루),90321,18,10,18,10,0,0
매음3리마을회관(민머루),90322,7,1,6,1,1,0
매제미고개,43837,19,4,18,4,1,0
매제미고개,43988,0,13,0,13,0,0
매헌시민의숲.양재꽃시장,31002,13250,3888,13250,3888,0,571
매헌시민의숲.양재꽃시장,31003,1701,4810,1701,4810,0,217
먼우금사거리,38114,6739,5400,6728,5400,11,404
먼우금초등학교,38021,3017,10521,3017,10521,0,451
메이루즈커낼파크뷰,42747,3157,9128,3157,9128,0,409
메이루즈커낼파크뷰,42762,9415,3501,9415,3501,0,430
메이루즈커낼파크뷰정문,42794,3632,4240,3632,4240,0,262
메제미,43302,133,25,133,25,0,5
메제미,43598,21,148,21,148,0,5
면사무소입구,90018,3,82,3,82,0,2
면사무소입구,90019,71,6,68,6,3,2
면허시험장,39006,1925,1822,1925,1822,0,124
명가빌라(회차),37553,2645,2364,2631,2364,14,166
명보주택앞,43979,7,9,7,9,0,0
명보주택앞,43984,22,5,21,5,1,0
명신여자고등학교,40289,16957,4559,16951,4559,6,717
명신여자고등학교,40291,5119,12037,5112,12037,7,571
명신초등학교,43394,160,0,156,0,4,5
명신초등학교,43803,5,113,5,113,0,3
명진부페,43323,1,0,1,0,0,0
명진부페,43632,24,13,24,13,0,1
명현중학교,41405,2491,7763,2491,7763,0,341
명현초등학교,41559,5913,1871,5913,1871,0,259
명현초등학교,41560,1589,4433,1589,4433,0,200
명현초등학교(효성지구대),41069,16,932,14,932,2,31
모다아울렛,89190,2326,2723,2322,2723,4,168
모래내시장,39295,15138,12680,15129,12680,9,927
모래내시장,39298,12105,11132,12081,11132,24,774
모래내시장,39344,6543,5683,6543,5683,0,407
모래내시장,39350,11081,12942,11062,12942,19,800
모래내시장역(1번출구),39338,11277,9792,11261,9792,16,702
모래내시장역(2번출구),39909,9730,12227,9719,12227,11,731
모래내시장역(3번출구),39339,35556,33583,35507,33583,49,2304
모래내시장역(4번출구),39335,2284,6575,2278,6575,6,295
모래방죽사거리,89228,1922,1110,1920,1110,2,101
모래방죽사거리,89229,2148,3372,2147,3372,1,184
모름말,90255,5,0,5,0,0,0
모름말,90311,3,3,3,3,0,0
모리부락입구,90304,15,0,15,0,0,0
모아아파트,70033,253,766,253,766,0,33
모아아파트.세종프라자,70034,630,286,630,286,0,30
모현,43659,2,251,2,251,0,8
모현,43689,219,8,216,8,3,7
목감IC출입(미정차),70227,1,0,1,0,0,0
목개마을,90153,2,13,2,13,0,0
목개마을,90154,24,9,24,9,0,1
목너머,35863,53,20,52,20,1,2
목너머,35864,13,51,13,51,0,2
목련어린이집,40824,9536,3275,9533,3275,3,427
목비고개,43032,67,195,65,195,2,8
목비고개,43272,237,94,235,94,2,11
목상교입구,41493,14,3,14,3,0,0
목상교입구,41519,6,22,6,22,0,0
목상교차로,41636,11,423,11,423,0,14
목상교차로,41637,276,2943,274,2943,2,107
목상동(새봄농원입구),41323,2,70,2,70,0,2
목상동(새봄농원입구),41324,47,14,47,14,0,2
목상동마을입구,41318,7,214,7,214,0,7
목상동마을입구,41517,158,19,157,19,1,5
목상동솔밭.이주단지입구,41316,1516,118,1515,118,1,54
목상동솔밭.이주단지입구,41317,142,1018,142,1018,0,38
목장앞,43503,1,2,1,2,0,0
목장앞,43688,3,2,3,2,0,0
목재단지,42036,369,468,369,468,0,27
목재부두사거리,42949,4,298,4,298,0,10
목재부두사거리,42960,131,36,131,36,0,5
목화빌라,37545,1,495,1,495,0,16
목화예식장,39446,15564,12890,15564,12890,0,948
목화예식장,39448,13134,18072,13117,18072,17,1040
무내미마을,39496,510,838,510,838,0,44
무내미마을,40106,168,3170,166,3170,2,111
무선내,44199,53,51,47,51,6,3
무의공영주차장,35871,5,7,5,7,0,0
무의도입구,35001,3957,264,3953,264,4,140
무의도입구,35002,604,4211,604,4211,0,160
무의도주민자치센터,35738,494,47,488,47,6,18
무의도주민자치센터,35739,128,249,127,249,1,12
무지개.한양8차아파트,40271,6348,4075,6348,4075,0,347
무지개.한양8차아파트,40276,6006,9267,6006,9267,0,509
무지개아파트,38366,3515,2473,3508,2473,7,199
무지개아파트(동남아파트),38042,6138,1048,6132,1048,6,239
무학리입구,90276,39,33,39,33,0,2
묵골,43498,26,12,24,12,2,1
묵골,43684,12,32,10,32,2,1
문남마을,38250,7522,5048,7522,5048,0,419
문남초등학교,38214,2194,1875,2194,1875,0,135
문남초등학교,38216,2363,3223,2363,3223,0,186
문말3거리,44084,12,0,11,0,1,0
문말3거리,44169,0,1,0,1,0,0
문말삼거리,44001,338,15,338,15,0,11
문말삼거리,44002,24,298,24,298,0,10
문산교회앞,43340,21,33,16,33,5,1
문산교회앞,43589,44,53,42,53,2,3
문산리마을회관,43101,111,348,108,348,3,15
문일여고·하우스토리만수아파트,39313,1291,4251,1291,4251,0,184
문일여고·하우스토리만수아파트,39314,5793,771,5787,771,6,218
문일여자고등학교후문,39685,2134,3445,2130,3445,4,185
문학경기장(X게임장),37643,84,262,84,262,0,11
문학경기장(박태환수영장),38310,3754,2476,3750,2476,4,207
문학경기장(박태환수영장),38311,1133,4360,1131,4360,2,183
문학경기장(박태환수영장),38329,1447,1447,1447,1447,0,96
문학경기장(박태환수영장),38423,880,1655,880,1655,0,84
문학경기장(야구장),37144,6490,11516,6478,11516,12,600
문학경기장(월드컵경기장),37157,5263,9952,5260,9952,3,507
문학경로당,37087,4676,2962,4676,2962,0,254
문학경로당,37088,4173,3475,4173,3475,0,254
문학고개,37056,2658,2493,2658,2493,0,171
문학고개,37057,2600,3382,2600,3382,0,199
문학고개,37101,3418,4131,3396,4131,22,251
문학우체국,37520,3932,4465,3932,4465,0,279
문학우체국,37521,4559,3064,4559,3064,0,254
문학정보고입구,37107,4084,5411,4084,5411,0,316
문학정보고입구,37108,5994,2122,5994,2122,0,270
문학초등학교,37105,18170,7721,18129,7721,41,863
문학초등학교,37110,8199,14257,8192,14257,7,748
문현,43005,105,66,105,66,0,5
문현,43164,65,82,65,82,0,4
문현,43195,137,14,135,14,2,5
문현,43321,1,129,1,129,0,4
문화교회,40173,330,230,330,230,0,18
문화교회,40174,9921,11105,9908,11105,13,700
문화예술회관,39197,3102,5448,3087,5448,15,285
문화예술회관,39199,639,586,635,586,4,40
물류단지D블럭앞,35604,269,1,269,1,0,9
물류단지F블럭앞,35603,3,358,3,358,0,12
미관광장,38508,34,119,34,119,0,5
미관광장,38512,21,51,21,51,0,2
미단교회사거리,35664,2,1,2,1,0,0
미단교회사거리,35665,3,3,3,3,0,0
미도아파트,37446,1077,1415,1077,1415,0,83
미도아파트,41027,9406,2937,9397,2937,9,411
미도아파트,41028,3416,9127,3413,9127,3,418
미래빌라,36088,6549,913,6545,913,4,248
미래빌라,36089,1520,4700,1520,4700,0,207
미래타운1.2단지,40683,3588,18409,3588,18409,0,733
미래타운1.2단지,40684,14154,2378,14154,2378,0,551
미래타운5단지,40672,954,3464,954,3464,0,147
미래타운5단지501동,40662,5753,276,5753,276,0,200
미래타운5단지505동,40669,5192,2769,5192,2769,0,265
미래테크원,92015,2520,920,2520,920,0,114
미루지,43420,27,46,26,46,1,2
미루지,43522,30,15,30,15,0,1
미륭아파트,36138,3777,646,3761,646,16,147
미륭아파트,36139,823,3236,810,3236,13,135
미림극장,36008,3187,7870,3159,7870,28,368
미림극장,36009,8908,2591,8847,2591,61,383
미림극장입구,36141,273,472,273,472,0,24
미산초등학교,40378,7621,8407,7607,8407,14,534
미송초등학교,38654,14617,1223,14616,1223,1,528
미송초등학교(하행),38653,1947,7682,1946,7682,1,320
미주탕,42123,3090,10966,3089,10966,1,468
미주탕,42124,11216,5504,11204,5504,12,557
미추홀경찰서(장미아파트),37524,863,3875,863,3875,0,157
미추홀공원,38368,8019,2736,8013,2736,6,358
미추홀구청,37304,5239,4069,5239,4069,0,310
미추홀구청,37307,1029,2332,1027,2332,2,112
미추홀구청입구,37306,9582,18792,9579,18792,3,945
미추홀구청입구,37312,9882,9961,9878,9961,4,661
미추홀구평생학습관,37073,5695,5706,5695,5706,0,380
미추홀도서관·인천신월초등학교,39270,4214,8196,4212,8196,2,413
미추홀서사거리,37678,211,1249,211,1249,0,48
미추홀아파트,40250,147,495,147,495,0,21
미추홀아파트,40254,242,334,242,334,0,19
미추홀외고,39689,497,882,497,882,0,45
미추홀외고,39690,653,447,653,447,0,36
미추홀퍼스트(2단지),37220,8364,4095,8339,4095,25,415
미추홀퍼스트(2단지),37642,4060,8877,4054,8877,6,431
미추홀퍼스트2단지,37646,2521,384,2521,384,0,96
미추홀퍼스트3단지,37647,690,3169,690,3169,0,128
민머루해수욕장,90336,12,11,12,11,0,0
민방위교육장,38610,69,677,69,677,0,24
민방위교육장,38611,644,303,644,303,0,31
민방위교육장,39733,8218,2264,8218,2264,0,349
민방위교육장,39734,36,2264,36,2264,0,76
민방위교육장입구,41043,1685,5369,1681,5369,4,235
바로크아파트,42530,683,455,679,455,4,37
박공현,43228,38,4,38,4,0,1
박공현,43294,28,56,28,56,0,2
박문여자고등학교,39799,1339,149,1337,149,2,49
박문여자고등학교,39800,905,794,904,794,1,56
박문중학교,39844,685,352,685,352,0,34
박문중학교,39847,568,2992,568,2992,0,118
박문중학교정문,39860,3274,242,3274,242,0,117
박문중학교후문,39859,373,74,373,74,0,14
박물관앞,43668,17,248,17,248,0,8
박물관앞,43698,264,23,256,23,8,9
박촌마을입구,35670,170,5,170,5,0,5
박촌마을입구,35671,5,249,5,249,0,8
박촌역,41309,16983,21306,16975,21306,8,1276
박촌역,41310,16054,11466,16054,11466,0,917
반달마을.법원.검찰청,55014,1291,4196,1291,4196,0,182
반도유보라,42904,436,1316,436,1316,0,58
반도유보라,42905,2177,452,2177,452,0,87
반도유보라,42963,2190,1209,2189,1209,1,113
반도유보라,42985,3176,1145,3176,1145,0,144
반디모텔,44126,2,1,2,1,0,0
반찬단지,89426,176,148,176,148,0,10
반찬단지,89427,369,78,369,78,0,14
반포역,31034,153,3069,153,3069,0,107
반포역,31035,4325,106,4325,106,0,147
발전소삼거리,44115,65,70,60,70,5,4
발전소삼거리,44171,4,0,4,0,0,0
밝게,43990,25,2,24,2,1,0
밝게,43991,0,22,0,22,0,0
밤나무골,43022,85,150,84,150,1,7
밤나무골,43023,167,92,165,92,2,8
방개마을,90141,61,13,47,13,14,2
방개마을,90142,1,21,0,21,1,0
방아머리,62008,446,44,446,44,0,16
방아머리,62032,70,192,70,192,0,8
방아머리선착장,62007,24,578,24,578,0,20
방아머리제1주차장,62031,68,441,68,441,0,16
방아머리제1주차장,62041,757,103,757,103,0,28
방죽골,39763,3136,3872,3130,3872,6,233
방죽골,39764,1027,4635,1025,4635,2,188
방죽말,43027,75,99,75,99,0,5
방죽말,43214,44,146,43,146,1,6
방죽삼거리,39173,478,941,478,941,0,47
방죽삼거리,39174,622,484,622,484,0,36
방죽삼거리,42681,1614,444,1612,444,2,68
방죽삼거리,42683,373,1514,372,1514,1,62
방촌공원,40419,3272,3163,3272,3163,0,214
방축삼거리,36159,777,453,777,453,0,41
방축삼거리,36190,57,17,57,17,0,2
방파제입구,35048,5,505,4,505,1,17
방화동도시개발11단지,25026,696,48,696,48,0,24
방화중학교,25008,3237,40,3237,40,0,109
방화중학교,25009,26,868,26,868,0,29
배다리,35186,11815,18468,11806,18468,9,1009
배다리삼거리,36006,14682,8048,14651,8048,31,757
배다리삼거리,36007,6963,11117,6935,11117,28,602
배다리청과물시장,35184,4020,3164,4008,3164,12,239
배다리헌책방거리,36158,620,726,620,726,0,44
배수지입구,42774,656,3648,514,3648,142,143
백두아파트,42632,8897,6804,8884,6804,13,523
백련사입구,43419,19,88,19,88,0,3
백련사입구,43808,31,4,31,4,0,1
백련산입구,35773,1,0,1,0,0,0
백련산입구,35778,0,28,0,28,0,0
백마장입구,40389,10260,3038,10257,3038,3,443
백마장입구,40390,2645,9888,2645,9888,0,417
백마장입구,40399,18269,18786,18266,18786,3,1235
백마장입구,40407,9653,9484,9652,9484,1,637
백병원(송림패션몰),36151,482,179,481,179,1,22
백사장회센터,62033,30,161,30,161,0,6
백사장회센터,62039,182,26,182,26,0,6
백산아파트,38112,3733,4838,3690,4838,43,285
백산아파트,38113,4606,4683,4598,4683,8,309
백산아파트,38328,1971,1668,1971,1668,0,121
백석고가(하이마트),42381,4869,5154,4868,5154,1,334
백석고가(하이마트),42578,4788,3850,4788,3850,0,287
백석마을,35096,32,33,32,33,0,2
백석중.고등학교,42374,6184,3502,6180,3502,4,322
백석중.고등학교,42375,4239,6568,4238,6568,1,360
백석중사거리,89238,1870,2346,1869,2346,1,140
백석중사거리,89239,299,5274,299,5274,0,185
백승아파트,41383,91,608,91,608,0,23
백승아파트,41384,155,263,155,263,0,13
백암왕순대앞,38483,2387,2078,2387,2078,0,148
백영아파트,40058,13693,4730,13690,4730,3,614
백영아파트,41361,8269,2100,8269,2100,0,345
백운곡,43040,235,87,233,87,2,10
백운곡,43295,121,273,121,273,0,13
백운공원,40072,13,573,13,573,0,19
백운공원(부평아트센터),40075,562,3695,562,3695,0,141
백운공원(부평아트센터),40076,2981,1484,2979,1484,2,148
백운역,40079,14294,21605,14294,21605,0,1196
백운역,40080,24457,18659,24449,18659,8,1437
백운역,40081,58465,53128,58465,53128,0,3719
백운역,40716,13667,3216,13667,3216,0,562
백운역(파출소),40094,97,2123,97,2123,0,74
백운역(하행),40901,3186,9310,3186,9310,0,416
백운프라자,37181,4068,10057,4053,10057,15,470
백운프라자,37185,7308,4372,7297,4372,11,389
백조아파트,40386,271,696,271,696,0,32
백조아파트,40388,1402,772,1402,772,0,72
뱃말항,44172,0,2,0,2,0,0
뱅뱅사거리,31012,4,1383,4,1383,0,46
뱅뱅사거리,32001,1595,7,1595,7,0,53
버드러지,43428,22,26,22,26,0,1
버드러지,43476,95,40,92,40,3,4
번영로제1사거리,39113,585,1523,581,1523,4,70
번영로제3사거리,39036,973,337,973,337,0,43
번영로제3사거리,39037,276,1142,276,1142,0,47
벌말,43175,2,33,2,33,0,1
벌말,43297,54,1,54,1,0,1
벌판마을입구,35763,19,213,19,213,0,7
벌판마을입구,35764,199,132,199,132,0,11
범양상가,42118,4024,10200,4024,10200,0,474
범양상가,42122,8866,2321,8858,2321,8,372
범양아파트,42116,8049,2733,8032,2733,17,359
범양아파트(종점),42127,130,137,130,137,0,8
범허리 종점,43973,7,0,7,0,0,0
범허리종점,43974,57,33,57,33,0,3
법원,37130,254,1951,254,1951,0,73
법원,37131,1996,1026,1996,1026,0,100
법원.검찰청,37074,8087,5523,8086,5523,1,453
법원.검찰청.복사골문화센터.반달마을,55020,4196,1905,4196,1905,0,203
법원검찰청입구,37078,3376,4402,3376,4402,0,259
베어즈베스트골프장,89268,347,864,347,864,0,40
베어즈베스트골프장,89269,303,2560,303,2560,0,95
베어즈베스트청라GC,89046,44,117,44,117,0,5
베어즈베스트청라GC,89047,52,115,52,115,0,5
벧엘교회,39740,137,1241,137,1241,0,45
벽산.이삭아파트,39453,18424,23495,18424,23495,0,1397
벽산1차아파트,70023,146,1748,146,1748,0,63
벽산1차아파트,70024,2161,258,2161,258,0,80
벽산아파트,39459,1560,32,1554,32,6,53
벽산아파트,39549,22,3384,22,3384,0,113
벽산아파트(미추홀도서관),39273,11805,4555,11801,4555,4,545
벽산이삭아파트,39458,18676,12953,18673,12953,3,1054
별립산입구,43588,1,144,1,144,0,4
별립산입구,43778,61,2,61,2,0,2
병무청(학익풍림아이원),37013,45,15,45,15,0,2
병무청(학익풍림아이원),37671,21,1155,21,1155,0,39
병방사거리,41301,738,3069,737,3069,1,126
병방사거리,41303,5984,2331,5976,2331,8,277
병방초등학교,41302,513,962,513,962,0,49
병방초등학교,41304,1523,1354,1523,1354,0,95
병방초등학교(계양산전통시장),41299,15052,10821,15052,10821,0,862
보건소,43626,3,40,1,40,2,1
보건환경연구원,35158,1922,1653,1922,1653,0,119
보라매역.동작세무서,19013,171,9,171,9,0,6
보람프라자앞,42442,28061,16882,28059,16882,2,1498
보릿고개,43517,44,450,44,450,0,16
보릿고개,43880,344,146,342,146,2,16
보무기,90165,25,48,24,48,1,2
보무기,90166,49,20,48,20,1,2
보문사,90206,1979,1689,1960,1689,19,122
보스턴힐,89461,247,827,247,827,0,35
보스턴힐,89462,631,844,631,844,0,49
보트비,89424,49,189,49,189,0,7
보트비,89425,70,98,70,98,0,5
보훈회관,39484,4232,7384,4231,7384,1,387
복사골문화센터.한아름마을,55026,1633,3181,1633,3181,0,160
복지회관,38079,3230,1373,3226,1373,4,153
복지회관,38080,1290,4406,1282,4406,8,189
본향교회,39164,12240,2652,12229,2652,11,496
볼보트럭남인천사업소,35814,1054,1104,1053,1104,1,71
봉골,43535,28,4,28,4,0,1
봉골,43673,10,39,10,39,0,1
봉성(오상2리),43261,0,92,0,92,0,3
봉성(오상2리),43377,117,0,113,0,4,3
봉소리마을회관,43000,28,7,27,7,1,1
봉소리마을회관,90001,6,16,6,16,0,0
봉수대로501번길,89506,1613,383,1613,383,0,66
봉수대로501번길,89507,445,770,445,770,0,40
봉수초등학교,42980,982,1095,976,1095,6,69
봉수초등학교,42981,4,641,4,641,0,21
부개1동행정복지센터,40191,2692,6078,2686,6078,6,292
부개1동행정복지센터,40193,6618,3862,6605,3862,13,349
부개2동행정복지센터,40323,3019,739,3019,739,0,125
부개2파출소,40317,747,443,747,443,0,39
부개2파출소,40318,3210,8429,3203,8429,7,387
부개2파출소,40329,4771,2145,4752,2145,19,230
부개2파출소,40764,64,208,64,208,0,9
부개3동행정복지센터,40494,1471,307,1471,307,0,59
부개3동행정복지센터입구,40486,240,1306,240,1306,0,51
부개6단지후문.웅진플레이,55021,32,1517,32,1517,0,51
부개고입구,40345,2987,4744,2972,4744,15,257
부개고입구,40783,5759,2339,5735,2339,24,269
부개농협,40199,455,1880,451,1880,4,77
부개농협,40201,2127,1021,2097,1021,30,104
부개사거리,40923,405,2200,400,2200,5,86
부개서초등학교,40243,5386,1114,5386,1114,0,216
부개성일아파트,40293,6332,2940,6324,2940,8,309
부개성일아파트,40301,5431,8807,5423,8807,8,474
부개여자고등학교,40421,2721,1530,2721,1530,0,141
부개여자고등학교,40422,2442,2530,2436,2530,6,165
